% UltraMSK: version 1.1.1
% Site: fairbanks
% Date: 2022-03-04
% Frequency: 37500.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End                  
00313.000  -85.44  178.41
00314.000  -85.57  175.98
00315.000  -85.33  175.86
00316.000  -85.30  176.62
00317.000  -85.37  176.57
00318.000  -85.36  176.07
00319.000  -85.31  175.57
00320.000  -85.31  175.38
00321.000  -85.23  177.76
00322.000  -85.23  177.98
00323.000  -85.30  173.53
00324.000  -85.28  174.14
00325.000  -85.24  171.42
00326.000  -85.27  172.77
00327.000  -85.08  173.77
00328.000  -85.39  173.15
00329.000  -85.37  171.75
00330.000  -84.99  172.23
00331.000  -85.02  171.69
00332.000  -85.17  172.52
00333.000  -85.10  172.60
00334.000  -85.02  171.79
00335.000  -84.95  170.86
00336.000  -85.00  170.50
00337.000  -85.17  170.59
00338.000  -84.81  169.78
00339.000  -84.80  167.63
00340.000  -84.68  167.84
00341.000  -84.89  168.85
00342.000  -84.98  167.66
00343.000  -84.85  168.02
00344.000  -85.03  166.79
00345.000  -84.78  166.28
00346.000  -84.69  165.99
00347.000  -84.80  166.37
00348.000  -85.00  164.01
00349.000  -84.89  164.85
00350.000  -84.84  164.06
00351.000  -84.77  165.84
00352.000  -85.14  164.96
00353.000  -84.87  165.22
00354.000  -84.82  164.66
00355.000  -85.11  163.00
00356.000  -84.86  163.35
00357.000  -85.29  164.54
00358.000  -85.15  164.73
00359.000  -85.14  162.70
00360.000  -85.19  163.14
00361.000  -85.14  163.15
00362.000  -85.19  160.95
00363.000  -85.05  161.89
00364.000  -85.13  161.31
00365.000  -85.07  161.55
00366.000  -85.01  160.67
00367.000  -85.07  161.43
00368.000  -85.07  159.92
00369.000  -84.95  160.95
00370.000  -85.13  160.08
00371.000  -85.16  161.37
00372.000  -85.26  159.78
00373.000  -85.22  159.49
00374.000  -85.15  160.00
00375.000  -85.18  159.39
00376.000  -85.29  157.88
00377.000  -85.08  160.20
00378.000  -85.21  160.35
00379.000  -85.34  160.39
00380.000  -85.06  159.18
00381.000  -85.25  160.59
00382.000  -85.35  160.38
00383.000  -85.03  158.70
00384.000  -85.06  159.84
00385.000  -85.13  158.99
00386.000  -85.07  157.56
00387.000  -85.32  158.51
00388.000  -85.35  158.62
00389.000  -85.17  161.42
00390.000  -85.70  157.55
00391.000  -85.04  160.51
00392.000  -85.16  157.79
00393.000  -85.25  159.09
00394.000  -85.01  159.96
00395.000  -85.30  157.62
00396.000  -85.26  158.45
00397.000  -85.11  159.86
00398.000  -85.19  157.95
00399.000  -84.91  157.53
00400.000  -84.95  157.50
00401.000  -84.88  157.82
00402.000  -85.07  158.07
00403.000  -85.09  157.07
00404.000  -85.11  157.83
00405.000  -85.19  157.37
00406.000  -85.09  158.56
00407.000  -85.14  158.93
00408.000  -85.10  155.77
00409.000  -84.99  156.13
00410.000  -85.07  156.75
00411.000  -84.96  157.11
00412.000  -85.16  156.05
00413.000  -85.06  155.81
00414.000  -85.17  155.16
00415.000  -84.89  155.38
00416.000  -84.85  154.82
00417.000  -84.90  155.94
00418.000  -85.14  156.01
00419.000  -84.62  155.12
00420.000  -84.78  155.57
00421.000  -84.83  156.13
00422.000  -84.82  155.16
00423.000  -84.99  155.62
00424.000  -84.87  153.08
00425.000  -84.80  154.24
00426.000  -84.78  154.94
00427.000  -85.01  154.23
00428.000  -84.62  153.18
00429.000  -84.72  153.55
00430.000  -84.60  153.54
00431.000  -84.63  152.86
00432.000  -84.81  153.09
00433.000  -84.58  153.21
00434.000  -84.69  152.24
00435.000  -84.87  153.67
00436.000  -84.82  153.02
00437.000  -84.81  152.79
00438.000  -84.58  153.15
00439.000  -84.50  152.57
00440.000  -84.63  153.79
00441.000  -84.74  151.40
00442.000  -84.64  152.14
00443.000  -84.78  152.90
00444.000  -84.69  152.72
00445.000  -84.65  152.76
00446.000  -84.69  151.96
00447.000  -84.82  151.00
00448.000  -84.60  150.11
00449.000  -84.46  150.92
00450.000  -84.45  151.37
00451.000  -84.70  150.62
00452.000  -84.58  152.22
00453.000  -84.58  150.61
00454.000  -84.44  150.31
00455.000  -84.50  150.56
00456.000  -84.49  151.75
00457.000  -84.65  151.12
00458.000  -84.65  150.27
00459.000  -84.52  151.12
00460.000  -84.55  151.03
00461.000  -84.58  150.33
00462.000  -84.43  150.30
00463.000  -84.52  149.41
00464.000  -84.67  149.68
00465.000  -84.31  149.18
00466.000  -84.37  149.17
00467.000  -84.39  150.06
00468.000  -84.46  147.15
00469.000  -84.55  146.89
00470.000  -84.39  147.88
00471.000  -84.56  149.35
00472.000  -84.43  148.06
00473.000  -84.37  148.98
00474.000  -84.47  147.60
00475.000  -84.36  146.54
00476.000  -84.51  145.94
00477.000  -84.38  147.40
00478.000  -84.18  147.95
00479.000  -84.35  145.69
00480.000  -84.01  148.25
00481.000  -84.32  146.50
00482.000  -84.37  146.79
00483.000  -84.54  145.96
00484.000  -84.40  145.91
00485.000  -84.41  145.23
00486.000  -84.17  146.47
00487.000  -84.59  146.06
00488.000  -84.32  144.86
00489.000  -84.34  146.29
00490.000  -84.57  144.98
00491.000  -84.33  146.30
00492.000  -84.45  145.07
00493.000  -84.45  144.00
00494.000  -84.49  146.10
00495.000  -84.32  145.31
00496.000  -84.53  145.34
00497.000  -84.64  145.34
00498.000  -84.66  143.74
00499.000  -84.67  144.93
00500.000  -84.78  145.61
00501.000  -84.75  144.35
00502.000  -84.75  146.04
00503.000  -84.69  146.22
00504.000  -84.53  146.78
00505.000  -84.38  145.53
00506.000  -84.56  145.70
00507.000  -84.62  145.19
00508.000  -84.60  144.78
00509.000  -84.60  147.04
00510.000  -84.53  147.19
00511.000  -84.35  145.69
00512.000  -84.53  145.75
00513.000  -84.23  145.82
00514.000  -84.37  145.18
00515.000  -84.63  146.43
00516.000  -84.49  146.92
00517.000  -84.11  145.24
00518.000  -84.56  146.83
00519.000  -84.35  144.94
00520.000  -84.06  144.53
00521.000  -84.41  144.72
00522.000  -84.13  145.09
00523.000  -84.29  146.36
00524.000  -84.02  145.14
00525.000  -84.13  147.44
00526.000  -84.14  144.97
00527.000  -83.90  145.36
00528.000  -84.13  143.92
00529.000  -84.30  144.36
00530.000  -84.22  145.32
00531.000  -84.14  144.99
00532.000  -84.05  144.21
00533.000  -84.01  144.27
00534.000  -84.25  144.12
00535.000  -84.15  143.95
00536.000  -83.97  144.12
00537.000  -83.91  141.86
00538.000  -83.93  143.76
00539.000  -84.01  146.16
00540.000  -84.06  141.90
00541.000  -83.79  142.26
00542.000  -83.96  141.68
00543.000  -83.94  143.86
00544.000  -83.76  142.20
00545.000  -83.82  141.05
00546.000  -83.99  141.27
00547.000  -83.67  141.09
00548.000  -83.66  141.29
00549.000  -83.88  141.36
00550.000  -84.06  141.77
00551.000  -84.09  141.64
00552.000  -83.77  141.75
00553.000  -83.84  140.42
00554.000  -83.98  140.09
00555.000  -83.90  140.83
00556.000  -84.15  141.30
00557.000  -83.89  141.21
00558.000  -83.98  140.41
00559.000  -83.83  141.84
00560.000  -83.99  141.33
00561.000  -83.94  140.83
00562.000  -83.99  142.26
00563.000  -83.99  141.27
00564.000  -84.02  142.32
00565.000  -83.89  141.04
00566.000  -83.97  142.99
00567.000  -84.10  142.99
00568.000  -83.98  142.39
00569.000  -84.26  141.13
00570.000  -84.14  141.98
00571.000  -84.16  141.93
00572.000  -84.19  141.50
00573.000  -84.26  139.30
00574.000  -84.06  140.78
00575.000  -84.00  140.53
00576.000  -83.89  142.35
00577.000  -84.28  141.40
00578.000  -84.14  141.40
00579.000  -84.20  141.09
00580.000  -83.99  140.36
00581.000  -84.16  139.93
00582.000  -84.15  140.97
00583.000  -84.00  138.86
00584.000  -83.93  141.84
00585.000  -84.05  139.63
00586.000  -84.01  140.56
00587.000  -84.27  140.42
00588.000  -84.19  140.74
00589.000  -84.22  139.73
00590.000  -84.12  140.49
00591.000  -84.03  139.41
00592.000  -83.95  140.02
00593.000  -84.02  140.65
00594.000  -84.18  141.30
00595.000  -83.93  140.58
00596.000  -83.97  139.47
00597.000  -84.08  140.29
00598.000  -84.11  138.55
00599.000  -84.05  138.39
