% UltraMSK: version 1.1.1
% Site: fairbanks
% Date: 2022-03-05
% Frequency: 16400.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End                  
00486.000  -60.28  133.87
00487.000  -60.34  130.57
00488.000  -60.21  127.53
00489.000  -60.28  124.09
00490.000  -60.24  121.26
00491.000  -60.24  118.43
00492.000  -60.22  115.03
00493.000  -60.17  112.70
00494.000  -60.18  108.95
00495.000  -60.22  105.42
00496.000  -60.17  101.90
00497.000  -60.09   99.24
00498.000  -60.14   95.31
00499.000  -60.22   92.73
00500.000  -60.14   89.71
00501.000  -60.22   86.63
00502.000  -60.15   83.67
00503.000  -60.28   80.05
00504.000  -60.21   77.16
00505.000  -60.17   73.89
00506.000  -60.17   70.57
00507.000  -60.08   67.64
00508.000  -60.14   64.41
00509.000  -60.25   60.78
00510.000  -60.26   57.32
00511.000  -60.27   54.92
00512.000  -60.14   51.95
00513.000  -60.32   48.29
00514.000  -60.21   45.67
00515.000  -60.14   41.80
00516.000  -60.32   39.15
00517.000  -60.25   35.40
00518.000  -60.21   32.02
00519.000  -60.27   29.93
00520.000  -60.39   27.61
00521.000  -60.31   23.06
00522.000  -60.32   20.56
00523.000  -60.20   16.05
00524.000  -60.33   13.14
00525.000  -60.24   10.18
00526.000  -60.26    7.65
00527.000  -60.34    4.67
00528.000  -60.30    1.87
00529.000  -60.30   -1.96
00530.000  -60.38   -5.12
00531.000  -60.38   -7.84
00532.000  -60.38  -10.29
00533.000  -60.33  -14.32
00534.000  -60.40  -17.65
00535.000  -60.29  -21.05
00536.000  -60.30  -24.79
00537.000  -60.37  -26.62
00538.000  -60.53  -30.58
00539.000  -60.38  -33.75
00540.000  -60.37  -37.80
00541.000  -60.36  -40.70
00542.000  -60.44  -43.92
00543.000  -60.31  -47.65
00544.000  -60.36  -50.67
00545.000  -60.36  -53.63
00546.000  -60.40  -56.80
00547.000  -60.37  -59.86
00548.000  -60.38  -63.26
00549.000  -60.44  -66.63
00550.000  -60.39  -69.59
00551.000  -60.53  -72.73
00552.000  -60.42  -76.00
00553.000  -60.44  -79.34
00554.000  -60.45  -82.52
00555.000  -60.44  -85.13
00556.000  -60.55  -89.21
00557.000  -60.44  -91.75
00558.000  -60.45  -95.45
00559.000  -60.51  -99.09
00560.000  -60.54 -102.51
00561.000  -60.54 -105.83
00562.000  -60.54 -108.28
00563.000  -60.62 -111.23
00564.000  -60.57 -114.92
00565.000  -60.62 -118.10
00566.000  -60.63 -121.66
00567.000  -60.64 -124.94
00568.000  -60.63 -127.90
00569.000  -60.74 -130.77
00570.000  -60.66 -134.13
00571.000  -60.70 -138.14
00572.000  -60.56 -140.78
00573.000  -60.61 -144.58
00574.000  -60.61 -147.62
00575.000  -60.70 -151.29
00576.000  -60.54 -154.43
00577.000  -60.59 -157.47
00578.000  -60.52 -160.15
00579.000  -60.47 -163.93
00580.000  -60.57 -167.30
00581.000  -60.40 -170.43
00582.000  -60.55 -174.17
00583.000  -60.44 -176.92
00584.000  -60.40  179.35
00585.000  -60.51  175.88
00586.000  -60.41  172.77
00587.000  -60.50  169.44
00588.000  -60.36  166.78
00589.000  -60.31  163.19
00590.000  -60.44  160.46
00591.000  -60.47  156.50
00592.000  -60.40  153.84
00593.000  -60.37  150.41
00594.000  -60.31  147.95
